,cost_per_kilometer,gdp,total_vehicles,people.count.index,jobs.count.index,average_number_remote_working_days,percentage_of_remote_workers,world_trade_volume,share_service_sector_gdp,share_elderly_65_plus,higher_education_level_share,average_number_working_days,share_construction_sector_gdp,share_agriculture_sector_gdp,commuting_jobs_share,elasticity_cost_per_kilometer_passenger,elasticity_higher_education_level_share_passenger,elasticity_gdp_passenger,elasticity_total_vehicles_passenger,elasticity_share_elderly_65_plus_passenger,elasticity_commuting_jobs_share_passenger,elasticity_gdp_cargo_domestic,elasticity_share_service_sector_gdp_cargo_domestic,elasticity_share_construction_sector_gdp_cargo_domestic,elasticity_world_trade_volume_cargo_international,blankenburgverbinding,cargo_vkt_year_2050,passenger_vkt_year_2050,combined_vkt_year_2050,cargo_demand_year_2050,passenger_demand_year_2050,combined_demand_year_2050,RoadSegment_3228_transport.passenger_car_unit_year_2050,RoadSegment_651_transport.passenger_car_unit_year_2050,RoadSegment_3260_transport.passenger_car_unit_year_2050,RoadSegment_551_transport.passenger_car_unit_year_2050,RoadSegment_660_transport.delay_factor_year_2050,RoadSegment_3227_transport.delay_factor_year_2050,RoadSegment_127_transport.passenger_car_unit_year_2050,RoadSegment_554_transport.delay_factor_year_2050,RoadSegment_A16northbound_transport.passenger_car_unit_year_2050,RoadSegment_3227_transport.passenger_car_unit_year_2050,RoadSegment_A4northbound_transport.passenger_car_unit_year_2050,RoadSegment_651_transport.delay_factor_year_2050,RoadSegment_654_transport.delay_factor_year_2050,RoadSegment_127_transport.delay_factor_year_2050,RoadSegment_A16southbound_transport.passenger_car_unit_year_2050,RoadSegment_990_transport.delay_factor_year_2050,RoadSegment_654_transport.passenger_car_unit_year_2050,RoadSegment_3299_transport.delay_factor_year_2050,RoadSegment_3260_transport.delay_factor_year_2050,RoadSegment_660_transport.passenger_car_unit_year_2050,RoadSegment_554_transport.passenger_car_unit_year_2050,RoadSegment_613_transport.delay_factor_year_2050,RoadSegment_551_transport.delay_factor_year_2050,RoadSegment_422_transport.passenger_car_unit_year_2050,RoadSegment_3228_transport.delay_factor_year_2050,RoadSegment_613_transport.passenger_car_unit_year_2050,RoadSegment_A4southbound_transport.passenger_car_unit_year_2050,RoadSegment_422_transport.delay_factor_year_2050,RoadSegment_3299_transport.passenger_car_unit_year_2050,RoadSegment_990_transport.passenger_car_unit_year_2050
experiment_000,117.94907685461558,131.29921572196923,10.557017298398106,107.27619181574056,4312.150477435563,1.9000486221711963,71.38492426155432,116.50540686202834,57.02075768387947,23.8441267722908,45.0,3.78,9.0,2.0,0.6411777063836998,-0.22458093601412915,-0.12921638940957447,0.3829834723644715,0.578434897769089,-0.45961343423012213,0.6770164027512128,0.28179287192731167,-1.1058159509563863,0.308798904599932,0.513225971030485,1,607978936.660381,3315402591.8067613,4531360465.127523,14366.790501400314,152443.39497694458,181176.9759797452,5079.019487419546,1461.4727921794192,1381.9002437159716,5278.983569470215,1.1526260194036226,3.015703510916507,3304.2452591532683,1.0010152193164477,5092.379911227128,5046.283434771204,5490.483843957068,1.0141808750757837,1.0225413388126543,1.0731920916933748,5119.842656765893,1.0277701305373586,1641.0049970770604,1.023949922579903,1.00949086954616,2647.110808061677,396.3026460226008,1.1123357921331156,3.4140226120885706,1815.5973976126245,3.068519451954985,2451.8534866596447,4092.858483736705,1.0066728616753269,2499.092115614134,2593.2877956129937
experiment_001,88.60817137515885,136.97230084744243,9.413691778593105,112.23744606798488,4911.71882259098,1.2342590028420397,45.17610430937448,134.8830374689389,68.75521162934477,25.72755889871486,45.0,3.78,9.0,2.0,0.852489382388422,-0.24289307256266768,-0.11339433414353271,0.431110512165651,0.6778568819213164,-0.4822492748578744,0.6117425044871392,0.32611519039180986,-1.119866879881331,0.30324389025919807,0.37346483550979714,1,464955303.7923009,5439897682.402523,6369808289.987124,11248.219165293363,250884.93640637904,273381.3747369657,5820.81879337572,1801.5721686036975,1829.4822182310843,6135.175652791723,1.467365697864126,4.1297884691146365,4559.659265361644,1.0034772692766922,7290.200176066541,5633.051520765055,7132.756396515277,1.0327451322620194,1.0225250831160273,1.2654022595274703,7199.696699311644,1.074295053084414,1640.7090641624786,1.1530739627786448,1.0291549298664715,3501.7020096804945,537.5635058211909,1.3297769975775329,5.404007985672235,2640.0374339499995,4.568423665702994,3209.372055010168,4850.081119172646,1.0298273998452323,3973.576396457244,3316.6237796092964
experiment_002,92.91597052991476,133.44818126664364,11.387916590751589,111.66468150754748,4863.663795114275,0.981082113558531,61.36880515554236,117.88539797812288,64.18848028982862,23.822359287898237,45.0,3.78,9.0,2.0,0.8407200077551291,-0.14323164858387105,-0.05585164326061587,0.5770728454469322,0.6048181638025237,-0.44979896907819505,0.6604598171001207,0.12489797004362399,-0.16619133806084307,0.4386159819442764,0.3920019613979059,1,477261045.7535645,6993733204.7841015,7948255296.29123,11375.855978986125,323704.44864008,346456.16059805226,6782.081012807625,2117.051065366068,2344.08900019404,7061.6523508806495,1.7486821164796589,6.604314983326135,5596.500308847921,1.0076434029157226,9189.102450904726,6516.218085592034,8400.62407218991,1.062440364222504,1.080076956536573,1.6023392788950055,8741.422197103757,1.218836158964288,2252.899748314457,1.3380974350392725,1.078577031507812,3939.4840066298025,654.5485802379314,1.4266848860564751,8.729749599191294,3144.9218882558357,7.576457007915878,3422.8809294031557,5675.780677717613,1.060064035701278,4844.140209065105,4344.96224183962
experiment_003,111.01143967174905,162.25457132459422,9.32242776082382,110.3304963378124,4260.823045436892,1.0123377284934802,53.53522313792698,166.502801840668,58.31307789085365,25.87964004267538,45.0,3.78,9.0,2.0,0.8566250630004215,-0.16927705904793505,-0.18970645210891693,0.6044610655923778,0.6392275930736075,-0.4234051034893048,0.7050143950434747,0.476015261774969,-1.2265324338275234,0.3083936033081906,0.4587886538539546,1,809938875.8628144,5024718177.37078,6644595929.096409,19153.03020213956,233440.8898640406,271746.9502683197,6580.884722171384,1900.368440002476,2068.922053423933,6992.684550252942,1.478101848204049,6.386485163838329,4789.054758292062,1.0030085513480105,7804.023925435455,6451.955210205424,7490.931501933775,1.0405407081058078,1.0535496479125597,1.322978986725672,7382.895301699625,1.185408181219937,2037.2959965372931,1.1072515051105445,1.047684336719142,3521.641008507366,518.4531933457299,1.410194777602621,8.432173523960746,2593.840543407563,6.830116402576049,3389.3194864762686,5426.615483013562,1.0277938144289354,3635.4408657258455,4168.583059709609
experiment_004,89.0014536698531,169.18039343894557,11.328969132809634,112.67029501929142,4473.606372449931,1.5920734279118425,50.37841305715993,142.9552765013329,66.6268486278543,24.15543361966563,45.0,3.78,9.0,2.0,0.7878144635749437,-0.22048795193872592,-0.04078363105707897,0.3736305955889083,0.5729624303193548,-0.41553192159411123,0.7462836211694508,0.4861500228780057,-0.4940285285591919,0.3420709174879274,0.3900360164153351,1,660923034.989754,6150808380.776692,7472654450.756201,15609.339886907806,286411.9009980764,317630.58077189204,6835.9518169896655,2283.900394672492,1888.3078558764948,7152.371735508871,1.7484960586828049,7.027582026780509,5279.787222375435,1.0056082531101758,8690.484045130228,6635.914154518869,8111.447480384887,1.0845763095364234,1.0446767487643382,1.477134410913382,8249.59759200438,1.2091330945222885,1947.087044429432,1.2289896206957236,1.033089517157667,3939.2392298359,605.7969719936171,1.5723538511052366,9.134678732845256,2969.810369628945,7.787909828343496,3683.673494453813,5630.760538883245,1.0477628170732864,4394.507250203963,4295.976794926265
experiment_005,67.66649190834852,142.96343345113254,11.44976026492748,110.9408687983776,4840.87860009222,1.585230389915037,50.85442546909738,159.10731149232595,68.38385936078599,24.63479033412957,45.0,3.78,9.0,2.0,0.78673020974793,-0.18459847520444828,-0.08292637741814708,0.5338172876210734,0.7080750658407555,-0.47026802473972595,0.5416332690945777,0.05599668814171335,-0.9774089675520601,0.3135011413038712,0.4725007005986793,1,456994702.1391192,6911894966.139351,7825884370.417589,11186.148626363676,323459.4402629107,345831.737515638,6728.379980906027,2109.2765302404678,2099.5758121418094,7097.542854170073,1.7874517063735813,6.917824260124578,5502.041516604732,1.008335896668519,9105.82668476917,6605.496895900587,8198.37521171424,1.0615281948853157,1.1180050385412217,1.562691699674025,8614.716919712067,1.2276260275656057,2482.219108759321,1.3042014135576836,1.0505737868550722,3989.5228693319614,668.8955048442738,1.547910677611103,8.888095980675367,3112.675403107335,7.370626335341543,3643.698365766104,6125.917474525425,1.057638197622746,4717.8762249531,4387.95045981607
experiment_006,118.21702478559364,174.08093342659885,10.52779254484775,112.61712778625666,5093.906733527673,1.3596310028026202,77.35258036195813,132.67501413946596,57.691266361264894,23.769189552138755,45.0,3.78,9.0,2.0,0.7217699301404776,-0.1169806717529139,-0.17198496923724976,0.6749277347344701,0.6841023610082869,-0.5205889201346999,0.4492895466145724,0.049590030981029175,-0.7234611750746339,0.36864196331665683,0.4417096476544897,1,535685598.4657085,7345479561.612173,8416850758.543591,12806.934336458737,341859.63740308373,367473.5060760012,7205.091950926059,2230.9613583236564,2381.2126444031146,7495.588830620535,2.047939177003064,8.212619367145333,5916.994624946405,1.0092558902959423,9752.636787212929,6940.459595175084,8897.155944412818,1.0770031134078095,1.0573502577119087,1.752626932730958,9224.539444125196,1.296472913865801,2072.5204298038966,1.4041087640445602,1.0836742735126217,4284.981941686047,686.4157383607151,1.6411661829807829,10.81212594816878,3307.5448191787905,9.377186865999656,3789.724408520102,5862.244838323999,1.0734848831307409,5065.015785391204,4687.6210018217225
experiment_007,84.94206379278106,165.8066513906024,12.030353690706994,111.46218700664788,4861.190455869073,1.5716621590033784,42.52744417594885,171.53876072987205,63.966134862567664,23.328718369344145,45.0,3.78,9.0,2.0,0.823177844628393,-0.15519660860001036,-0.06047317732987029,0.3880369808598757,0.6694074958013699,-0.4653302182464403,0.4515177208758071,0.27724695457826615,-0.8191644814493564,0.35446600471841666,0.466434523694917,1,605111992.6130129,7092266927.891549,8302490913.117575,14571.851923763828,331843.14126391226,360986.84511144,7271.284808879962,2078.2580307923427,2433.7031503811586,7601.011192508845,2.0377551976840613,8.78310716271966,5871.826743763176,1.0084656726786787,9679.678556080617,7073.807373167697,8786.49449519044,1.05798797755819,1.0710742113454914,1.729907770349565,9161.741062590783,1.3150641278780848,2186.719053910843,1.3598481168899177,1.0912997624263916,4274.53331401694,671.5079168487925,1.6269600399371305,11.375895300592484,3289.914318827608,9.68929848894457,3768.555731044217,5955.27478495506,1.071930554212782,4920.23724843459,4759.441307646027
experiment_008,109.4610686888957,147.2018022013264,10.788358887221934,112.45951512477988,4315.3272810115,0.99125003985923,46.87678254232763,117.63867982077022,60.70634337949768,23.24207906522254,45.0,3.78,9.0,2.0,0.8770724535355695,-0.17401113573078003,-0.14432844123535785,0.3330181716771282,0.6646303574058224,-0.4250806274264247,0.5816208124761181,0.5131780787588996,-0.05270287092253634,0.33580954117121253,0.35769862138456643,1,601533515.7152157,5772654391.14452,6975721422.574951,14230.202048690477,266541.25271413743,295001.6568115184,6386.832020748981,2216.697565433863,1663.0251291607954,6694.044486420357,1.6158798990745329,5.664171031942105,4953.400611830082,1.004146099785707,8035.646792879301,6223.842496595855,7631.516692802479,1.0750526221249046,1.0316162076292963,1.369648433654293,7738.496331578761,1.1304608812111965,1785.8394832707388,1.1943080016949614,1.0199064802342848,3751.79399820782,561.7332538936124,1.3192135731141292,7.241578967320733,2785.0957197486787,6.172280492303948,3183.356769599071,4969.1962528698095,1.0369432892102182,4217.731287002956,3817.915505876345
experiment_009,82.71377246839837,169.36250384557945,12.110024523321403,112.77630120224228,4703.797858270141,1.1463497437990993,70.25686019613978,117.78947728499897,61.1946611184962,23.621941964987748,45.0,3.78,9.0,2.0,0.7869340378677937,-0.19024397322860925,-0.112398804117229,0.4996494451886321,0.6826433300802185,-0.5071451799994333,0.8196486168545134,0.20386503555837643,-0.6746698312475536,0.3154879670392534,0.3519490566112313,1,544033884.9893594,7817766140.137733,8905833910.116451,12873.557494619829,368027.12283007737,393774.237819317,7416.159959864901,2398.473553903808,2464.381632328649,7770.545526239553,2.083506919730522,9.48299381009702,6228.402839348671,1.012198035331625,10371.42640776168,7227.735720503229,9183.742090462909,1.1028678894502049,1.083528682916419,1.9240209809603723,9675.66426792632,1.413573668816397,2276.794770412886,1.4761312264542472,1.095991125357473,4320.886904230452,735.5561252752,1.931346172342668,12.333032380403688,3447.261428577649,10.402783725488446,4160.473502051312,6437.268272464198,1.0867105491594753,5277.00981753183,5094.41659022985
experiment_010,113.33197314788652,153.99735206970723,9.815604184880502,105.98740292281865,4496.339453430314,1.2836775683148416,44.36383289693382,165.21845743050255,68.22642452459314,25.821757714504976,45.0,3.78,9.0,2.0,0.8493416477929576,-0.23881389808928138,-0.1346867002722255,0.6913539549764336,0.5883705134269502,-0.4550784860424414,0.6371404975615216,0.23414307389992622,-0.21904783830058538,0.419939196838991,0.42000319070856745,1,558883649.9430343,5847195042.81381,6964962342.699879,13339.958024886962,270181.7317289921,296861.647778766,6345.212251327866,1801.4312533431823,2190.0362247103017,6731.259039307445,1.5428282279540289,5.671493295696823,4963.834390805506,1.0044536581673962,7993.213636198222,6226.2837563318935,7626.686504256964,1.0327348884370495,1.020766273511026,1.3727727786812471,7777.390804637473,1.125291592405309,1607.6985470768504,1.1935649097388523,1.0598693335890488,3635.21902620348,571.8727686685274,1.425752967150454,7.381537241712335,2813.5564138319664,6.038772019577654,3421.0104252654373,5028.708972342288,1.0384766777831942,4213.693024349238,3779.520611848984
experiment_011,55.18523183883942,128.7812807207013,9.799346557817351,107.91925472873066,4425.087676619231,2.1539853017550343,79.65416633570689,111.9864087397977,63.42564731691868,24.48204969555379,45.0,3.78,9.0,2.0,0.5461007843633247,-0.18331772730551554,-0.1760331234303586,0.7376472565843035,0.6282293115425079,-0.5257867134079377,0.49184477803607934,0.3436873902952589,-1.2167871718778063,0.3848711451363742,0.32433497211009865,1,507308103.8318105,4107200733.5955887,5121816941.25921,12151.95811493708,189493.645570358,213797.56180023216,5290.364411109772,1563.0372587642496,1605.5584550999606,5571.514454081891,1.1986012619801392,3.2370416790633336,3701.65065717461,1.002213881239433,5781.530755640038,5179.448220631493,5995.821399503313,1.018553139714976,1.0170468153812358,1.1152807453848932,5868.476952589075,1.0345924039066958,1530.2972269484671,1.0525679407132924,1.017294329063172,2827.2256856391023,480.185207111496,1.1094655104149318,3.995250427426188,2166.826295414465,3.434907376029992,2436.039373272561,3966.336600221028,1.013530687784136,3041.8407735755454,2739.689982064492
experiment_012,90.7522301330458,172.56134902130742,11.972256106323474,104.4178121633746,4784.961946770986,0.9561396934036542,40.94166786640026,149.5071935449444,66.4393029275325,24.727788008419544,45.0,3.78,9.0,2.0,0.8964392757639835,-0.21267591350643952,-0.05198336373407175,0.4182834867654342,0.6905701773403644,-0.48329060015827296,0.468930362374624,0.2804622209082965,-0.15531135862349932,0.4506574541814494,0.3792446040452354,1,590766845.7525799,7928081633.24056,9109615324.74572,14059.337336679204,368178.2383646066,396296.91303796496,7753.154860592345,2452.532479732875,2617.8163518703104,8043.788786146909,2.278274227209244,10.54582270790706,6403.202683048442,1.0115991687843733,10570.812173767334,7444.2048892775965,9573.546232662537,1.1124602806727557,1.085180878042192,2.032200469245561,9998.043631081997,1.4174305949774626,2287.9709445250637,1.5475145670525894,1.122223843013258,4503.197401059349,726.4854384314094,1.832515250567688,14.013158698130097,3594.8409480335526,12.23191807478601,4045.414495787654,6333.385440312717,1.1025401093946716,5464.55945498694,5106.2527187803935
experiment_013,109.31356069093454,184.7665890468612,10.448462969668796,106.74461056284754,4549.190488686416,0.9537746019153815,47.63591640033653,153.22974868045355,66.55038183070837,24.042205759492145,45.0,3.78,9.0,2.0,0.8798044253925783,-0.24390134523408682,-0.17341248644928392,0.5551588246484551,0.6462096220519599,-0.39662536498946954,0.8086750916148874,0.49876536670603433,-0.9063880529208018,0.37465247139332164,0.4884623556127044,1,738971612.007188,7381891939.68225,8859835163.696627,17130.850111381616,345543.62293930445,379805.3231620677,7633.245513730309,2416.8264710826084,2413.9362595154057,8052.281306575463,2.236589551142289,10.5175006402692,6133.989302307105,1.009049541629278,10203.396898238076,7438.677071900228,9296.78999415076,1.106052758391872,1.1945360756548724,1.869254831741242,9544.207872133851,1.4181432207350824,2812.64560662977,1.413752190500035,1.0883695052203537,4466.027263552747,682.7737916432202,1.899612750504068,14.068202241307905,3410.2185698267454,11.553026220913017,4124.57188775145,6937.217494381221,1.0830431694537253,5094.966260528359,5108.430637709718
